TITULO,ALBUM,ARTISTA,ISRC,SELLO,TITULAR DERECHO,PERÍODO,AÑO DE PUBLICACIÓN,ENVIO A MONITOREO,CAPIF
PERREO TH 7,PERREO TH 7,"Dj Plaga, mamiyosoyelth",ARDL12500058,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,SI,SI
Por Qué Tú,Por Qué Tú,Candu Domínguez,ARDL12500059,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,SI,SI
BLAN BLAN,BLAN BLAN,"Mandale Flow, GABI SRB, Tirri La Roca",ARDL12500060,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,SI,SI
Ambiciosa,Ambiciosa,Dj Plaga|Orce|Dvann|NAKING NK,QZTVM2362410,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2023.0,NO,SI
La Peligrosa,La Peligrosa,Dj Plaga|Tone BRZ featuring NAKING NK and Titan 13,QZW9L2350315,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
Rebolea Remix,Rebolea Remix,Bianca Lif,ARDL12400007,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2024.0,NO,SI
Movimento,Movimento,Dj Plaga|Mc Tota,QZW9L2430233,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
Atraco,Atraco,Dj Plaga|Mc Tota|Paly,US7VG2539419,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
Funky Rocho,Funky Rocho,Dj Plaga|Mc Tota|Ponte Perro,US7VG2525782,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
Hola,Hola,"Emiliano Nahuel featuring Sebiche, El Osito Wito and Music Quality",QZDA62528136,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
Eu Quero 4,Eu Quero 4,Dj Plaga|Mc Tota|John Eric,QZGLS2518430,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
Guarache,Guarache,Dj Plaga|John Eric|Santiago Berrio,ARDL12500061,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
Eu Voce,Eu Voce,Orce|Dj Plaga|Mc Tota featuring Paly|Lit White,ARDL12500064,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
"Lo Que Pasó, Pasó","Lo Que Pasó, Pasó",El Retutu,ARDL12500062,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
Sola Con Mi Soledad,Sola Con Mi Soledad,Grupo La IA,ARDL12500063,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
Soñadores,Soñadores,El Mendo,ARDL12500065,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
Teníamos Menos,Teníamos Menos,Gusty dj|R Jota|Callejero Fino,ARDL12500066,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
Tumbalakatumba - Remix,Tumbalakatumba - Remix,Dj Plaga|Mc Tota|El Turko|mamiyosoyelth,ARDL12500071,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
Amala,Amala,Grupo La IA,ARDL12500075,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
Session Funk - TOTI x FACUU DJ,Session Funk - TOTI x FACUU DJ,TOTI|FACUU DJ,ARDL12500072,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
Amor Gitano,Amor Gitano,Cande Gonzalez,ARDL12500082,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
Amigos No Por Favor,Amigos No Por Favor,Aneley|Coty Hernández,ARDL12500084,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
Estadio Set,Estadio Set,Nicole Fernandez,ARDL12500087,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
Qué Ironía,Qué Ironía,Candu Dominguez|Fak,ARDL12500089,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
Como El Agua,Como El Agua,ACIT x,ARDL12500091,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
Ese Cu Tiene Poderes,Ese Cu Tiene Poderes,FACUU DJ|Paly|Mc Tota,ARDL12500092,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2025.0,NO,SI
FAZER AMOR,FAZER AMOR,Aneley|Josué Bom de Faixa|Gusty dj,AEA3A2625376,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2026.0,NO,SI
Sentaita,Sentaita,Bianca Lif|Lucas Cash,AEA3A2699675,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2026.0,NO,SI
LLEGÓ EL VERANO,LLEGÓ EL VERANO,FACUU DJ|Mc Tota,ARDL12600002,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2026.0,NO,SI
Procuro Olvidarte,Procuro Olvidarte,Valen|Rocío Quiroz|Los Nocheros|Nicole Fernandez,ARDL12500090,MAWZ MUSIC S.R.L,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2026.0,NO,SI
